S no,Name,team,Type,identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2
137,Vaibhav Suryavanshi ,RR,1,470f446b,V Suryavanshi,V Suryavanshi,0,0,0,0,0,0,1408688,0,0,0,0,0,0,0,0,0,0,0,0
138,Lhuan-Dre Pretorius ,RR,1,60aa2db3,LG Pretorius,LG Pretorius,0,0,0,0,0,0,1385640,0,0,0,2687490,0,128989,0,0,0,0,0,0
139,Shimron Hetmyer ,RR,1,48a1d7b7,SO Hetmyer,SO Hetmyer,0,0,0,0,0,0,670025,0,0,0,1130686,0,0,0,0,0,0,1705,0
140,Yashasvi Jaiswal ,RR,1,6c19c6e5,YBK Jaiswal,YBK Jaiswal,OXiLecbiiei1J0UJKIGQJhyOVIACziJ,0,0,0,0,0,1151278,0,0,0,1903137,0,0,0,0,0,0,13538,0
141,Dhruv Jurel ,RR,1,bcf325d2,Dhruv Jurel,Dhruv Jurel,iJyCiQOJG0IVJJeiOeKUbIzLXc1hiAi,0,0,0,0,0,1175488,0,0,0,0,0,0,0,0,0,0,0,0
142,Riyan Parag ,RR,1,04a418e8,R Parag,R Parag,JeicCLIGAXyheJ1UJbJIO0QVizOiiKi,0,0,0,0,0,1079434,0,0,0,2136312,0,0,0,0,0,0,4445,0
143,Jofra Archer ,RR,2,5574750c,JC Archer,JC Archer,0,0,0,0,0,0,669855,0,0,15830,1422835,0,0,7a90e3f1-b536-4e94-9c94-15b5f9b4112e,0,0,0,3502,0
144,Tushar Deshpande ,RR,2,46a9bea1,TU Deshpande,TU Deshpande,iiiJ0ICJeXI1hyOzLiVJcKAJGbQUieO,0,0,0,0,0,822553,0,0,0,967234,0,0,0,0,0,0,3257,0
145,Kwena Maphaka ,RR,2,107c26fb,KT Maphaka,KT Maphaka,0,0,0,0,0,0,1294342,0,0,0,2496965,0,113130,0,0,0,0,0,0
146,Nandre Burger ,RR,2,465aa633,N Burger,N Burger,0,0,0,0,0,0,971349,0,0,0,0,0,0,0,0,0,0,0,0
147,Ravi Bishnoi ,RR,2,df064e1a,Ravi Bishnoi,Ravi Bishnoi,ieJhIbiGeXU0KCQLIV1iJAOiJOycJzi,0,0,0,0,0,1175441,0,0,0,2272370,0,0,0,0,0,0,19351,0
148,Yash Raj Punja,RR,2,e855edaa,Y Punja,Y Punja,0,0,0,0,0,0,796331,0,0,0,0,0,0,0,0,0,0,0,0
149,Vignesh Puthur ,RR,2,1e030637,V Puthur,V Puthur,0,0,0,0,0,0,1460388,0,0,0,0,0,0,0,0,0,0,0,0
150,Brijesh Sharma ,RR,2,133bbd61,Brijesh Sharma,Brijesh Sharma,0,0,0,0,0,0,1515046,0,0,0,0,0,0,0,0,0,0,0,0
151,Adam Milne ,RR,2,350bb1b1,AF Milne,AF Milne,0,0,4881,7625,0,0,450860,0,0,0,921071,0,0,29490c43-d6cd-4419-84e9-c4d9f7cb1398,0,0,0,434,0
152,Kuldeep Sen ,RR,2,2e78f685,KR Sen,KR Sen,JbVX0zy1eiCOcGiJiIiKiJhLUQeIAOJ,0,0,0,0,0,1163695,0,0,0,0,0,0,0,0,0,0,0,0
153,Pat Cummins ,SRH,2,ded9240e,PJ Cummins,PJ Cummins,0,0,0,0,0,0,489889,0,0,0,1055155,0,0,0,0,0,0,488,0
154,Travis Head ,SRH,1,12b610c2,TM Head,TM Head,0,0,5366,0,0,0,530011,0,0,0,1061501,0,0,0,0,0,0,1020,0
155,Abhishek Sharma ,SRH,1,f29185a1,Abhishek Sharma,Abhishek Sharma,i0IJLJ1GJOycQAVzCeheiUbXiiIOKJi,JiKiGIeIUAV0hzOiiLQJ1XycCJbJOei,0,0,0,0,1070183,1131614,0,0,1576635,0,0,0,0,0,0,3760,0
156,Aniket Verma ,SRH,1,a3b0600d,Aniket Verma,Aniket Verma,0,0,0,0,0,0,1409976,0,0,0,0,0,0,0,0,0,0,0,0
157,Ishan Kishan ,SRH,1,752f7486,Ishan Kishan,Ishan Kishan,1KVLIceOQbJhCIiXJJiiUOizAiGJe0y,0,0,0,0,0,720471,0,0,0,1377783,0,0,21f1373b-c758-4c00-b985-782c0e48e299,0,0,0,2975,0
158,Heinrich Klaasen ,SRH,1,235c2bb6,H Klaasen,H Klaasen,0,0,0,0,0,0,436757,0,0,0,914109,0,46124,0,0,0,0,3869,0
159,Nitish Kumar Reddy,SRH,3,aad0c365,Nithish Kumar Reddy,Nithish Kumar Reddy,20161382502ab62911e6842a028d29d,0,0,0,0,0,1175496,0,0,0,0,0,0,0,0,0,0,0,0
160,Harsh Dubey ,SRH,3,25228673,Harsh Dubey,Harsh Dubey,2016733d4887acd711e6842a028d29d,,,,,,1216159,,,,,,,,,,,,
161,Kamindu Mendis ,SRH,3,08548b13,PHKD Mendis,PHKD Mendis,0,0,0,0,0,0,784373,0,0,0,0,0,0,0,0,0,0,3086,0
162,Harshal Patel ,SRH,2,f986ca1a,HV Patel,HV Patel,J0ULeeiciJJX1bOiOCVAJizyhQIiGIK,0,0,0,0,0,390481,0,0,0,250417,0,0,0,0,0,0,157,0
163,Brydon Carse ,SRH,3,cad40f5e,BA Carse,BA Carse,0,0,0,0,0,0,596417,0,0,0,1382040,0,0,6edf899e-806a-482e-b2ef-c6a9e37f0f5e,0,0,0,3550,0
164,Jaydev Unadkat ,SRH,2,1e66c162,JD Unadkat,JD Unadkat,iJy0OICJehGiUJVLiA1KIbziOeXQiJc,0,0,0,0,0,390484,0,0,0,264173,0,0,ceca3b64-73e6-4aaf-acec-efcaa1225a0f,0,0,0,86,0
165,Eshan Malinga ,SRH,2,5750bcb4,E Malinga,E Malinga,0,0,0,0,0,0,1306214,0,0,0,0,0,0,0,0,0,0,0,0
166,Zeeshan Ansari ,SRH,2,36619795,Zeeshan Ansari,Zeeshan Ansari,eJOKihzIcJi1JyeCGiQiI0XbLAOJiVU,0,0,0,0,0,942371,0,0,0,0,0,0,0,0,0,0,2974,0
167,Shivang Kumar ,SRH,3,7b44eb3e,Shivang Kumar,Shivang Kumar,0,0,0,0,0,0,1512089,0,0,0,0,0,0,0,0,0,0,0,0
168,Salil Arora ,SRH,1,d7423da1,S Arora,Salil Arora,0,0,0,0,0,0,1199281,0,0,0,0,0,0,0,0,0,0,0,0
169,Sakib Hussain ,SRH,2,280fff14,Sakib Hussain,Sakib Hussain,0,0,0,0,0,0,1340422,0,0,0,0,0,0,0,0,0,0,0,0
170,Amit Kumar ,SRH,2,e3e9f70a,Amit Kumar,Amit Kumar,0,0,0,0,0,0,601407,0,0,0,0,0,0,0,0,0,0,0,0
171,Liam Livingstone ,SRH,3,50c6bc2b,LS Livingstone,LS Livingstone,0,0,6724,0,0,0,403902,0,0,15487,353210,0,0,0,0,0,0,3644,0
172,Shivam Mavi ,SRH,2,c38d3503,Shivam Mavi,Shivam Mavi,OiOi0yi1JIIzULbiJAeKCcQVXJhGiJe,0,0,0,0,0,1079848,0,0,0,1740624,0,0,0,0,0,0,3779,0
173,DA  Patyne ,SRH,2,6c79c098,DA Payne,DA Payne,0,0,0,0,0,0,362710,0,0,0,334184,0,0,a8ebc874-4468-a049-aeda-e73bb4fc5fb7,0,0,0,3479,0
175,Abdul Samad ,LSG,1,8e514b4c,Abdul Samad,Abdul Samad,hicQGCIJAJiJiVKXbJLyU0Oii1OzIee,0,0,0,0,0,1175485,0,0,0,1949202,0,0,0,0,0,0,19352,0
176,Ayush Badoni ,LSG,1,872b03f7,A Badoni,A Badoni,iUJeXIbiz1VGLe0iiJcIOJQCAKJhiOy,0,0,0,0,0,1151270,0,0,0,0,0,0,0,0,0,0,0,0
177,Aiden Markram ,LSG,1,6a26221c,AK Markram,AK Markram,0,0,0,0,0,0,600498,0,0,0,1391761,0,0,0,0,0,0,1667,0
178,Matthew Breetzke ,LSG,1,35f173a0,MP Breetzke,MP Breetzke,0,0,0,0,0,0,595267,0,0,0,1383545,0,46852,0,0,0,0,0,0
179,Himmat Singh ,LSG,1,ebcfef83,Himmat Singh,Himmat Singh,c01IiUQOJiiAiCKzeGXJyVOIheJJibL,0,0,0,0,0,805235,0,0,0,0,0,0,0,0,0,0,0,0
180,Rishabh Pant ,LSG,1,919a3be2,RR Pant,RR Pant,JIei1JIiQOyJeVb0ciGhziALXKCiJOU,0,0,0,0,0,931581,0,0,0,1065017,0,0,0,0,0,0,2972,0
181,Nicholas Pooran ,LSG,1,3241e3fd,N Pooran,N Pooran,0,0,6763,0,0,0,604302,0,0,0,969464,0,0,0,0,0,0,1703,0
182,Mitchell Marsh ,LSG,3,3d8feaf8,MR Marsh,MR Marsh,0,0,4601,0,0,0,272450,0,0,0,148134,0,0,0,0,0,0,221,0
183,Shahbaz Ahmed ,LSG,3,f9e6e7ef,Shahbaz Ahmed,Shahbaz Ahmed,ecQ0AiG1eXJOzOCJLJVyhJiUKbIiIii,0,0,0,0,0,1159711,0,0,0,2274642,0,0,0,0,0,0,13803,0
184,Arshin Kulkarni ,LSG,3,2d140b79,AA Kulkarni,AA Kulkarni,0,0,0,0,0,0,1403153,0,0,0,0,0,0,0,0,0,0,0,0
185,Mayank Yadav ,LSG,2,b1ad996b,MP Yadav,MP Yadav,0,0,0,0,0,0,1292563,0,0,0,0,0,0,0,0,0,0,0,0
186,Avesh Khan ,LSG,2,eef2536f,Avesh Khan,Avesh Khan,ciiJiIJiLhJbAz1OI0JyKVUeXeOGQCi,0,0,0,0,0,694211,0,0,0,1177686,0,0,0,0,0,0,1561,0
187,Mohsin Khan ,LSG,2,c33d8116,Mohsin Khan,Mohsin Khan (2),eiIL1ciCOJJJI0GzOybiQhViUJKAieX,0,0,0,0,0,1132005,0,0,0,0,0,0,0,0,0,0,0,0
188,Manimaran Siddharth ,LSG,2,cf0ccafa,M Siddharth,M Siddharth,iC0KiUVbGOyzOJLiiAJIIJe1QeJhcXi,0,0,0,0,0,1151286,0,0,0,0,0,0,0,0,0,0,0,0
189,Digvesh Rathi ,LSG,2,13fc5c6d,DS Rathi,DS Rathi,0,0,0,0,0,0,1460529,0,0,0,0,0,0,0,0,0,0,0,0
190,Prince Yadav ,LSG,2,80b2fb19,Prince Yadav,Prince Yadav,0,0,0,0,0,0,1350768,0,0,0,0,0,0,0,0,0,0,0,0
191,Akash Singh ,LSG,2,b483905d,Akash Singh,Akash Singh,2017a66731ead35311e792a5028d29d,0,0,0,0,0,1175458,0,0,0,0,0,0,0,0,0,0,0,0
192,Mohammed Shami ,LSG,2,8cf9814c,Mohammed Shami,Mohammed Shami,ChbiJ1JcJIiiVXKQeyOAeGUiiOL0IJz,0,0,0,0,0,481896,0,0,0,908878,0,0,0,0,0,0,94,0
193,Arjun Tendulkar ,LSG,2,44aac2f0,Arjun Tendulkar,Arjun Tendulkar,0iGiOcIKzCh1AeIeJiJiVLUQibOJJXy,0,0,0,0,0,1148776,0,0,0,0,0,0,0,0,0,0,0,0
194,Wanindu Hasaranga ,LSG,3,a97c8ec2,PWH de Silva,PWH de Silva,0,0,0,0,0,0,784379,0,0,0,1722098,0,0,0,0,0,0,3082,0
195,Anrich Nortje ,LSG,2,acdc62f5,A Nortje,A Nortje,0,0,0,0,0,0,481979,0,0,0,1037475,0,57187,0,0,0,0,5433,0
196,Mukul Choudhary ,LSG,1,1c84109e,MD Choudhary,MD Choudhary,0,0,0,0,0,0,1354217,0,0,0,0,0,0,0,0,0,0,0,0
197,Akshat Raghuwanshi ,LSG,1,d8d67045,Akshat Raghuwanshi,Akshat Raghuwanshi,0,0,0,0,0,0,1300795,0,0,0,0,0,0,0,0,0,0,0,0
198,Josh Inglis ,LSG,1,989889ff,JP Inglis,JP Inglis,0,0,7636,0,0,0,662235,0,0,0,1228947,0,0,0,0,0,0,0,0
199,Nitish Rana ,DC,1,fb2d1dda,N Rana,N Rana,hVUcKiLiyiOiXbJIJ0JJCee1OGAizQI,0,0,0,0,0,604527,0,0,0,412485,0,0,0,0,0,0,2738,0
200,Abishek Porel ,DC,1,ad3b6e95,Abishek Porel,Abishek Porel,0,0,0,0,0,0,1277545,0,0,0,0,0,0,0,0,0,0,0,0
201,Ajay Mandal ,DC,3,31ee319e,Ajay Mandal,Ajay Mandal,1QyXiKVOibICGLJAUeiihcJIJOJize0,0,0,0,0,0,1059570,0,0,0,0,0,0,0,0,0,0,0,0
202,Ashutosh Sharma ,DC,3,84d9c311,Ashutosh Sharma,Ashutosh Sharma,JbeIILJUJQGJiA0zeKicyOXihCViO1i,0,0,0,0,0,1131978,0,0,0,0,0,0,0,0,0,0,0,0
203,Axar Patel ,DC,3,2e171977,AR Patel,AR Patel,iIQcOze1JKUiXeCJiGhb0VJiiILyJAO,0,0,0,0,0,554691,0,0,0,923472,0,0,0,0,0,0,1113,0
204,Dushmantha Chameera ,DC,2,327b58d3,PVD Chameera,PVD Chameera,0,0,0,0,0,0,552152,0,0,0,1225043,0,0,0,0,0,0,817,0
205,Karun Nair ,DC,1,944533a5,KK Nair,KK Nair,0JchQiibeAGyCUiJeX1IKzLIOJiJOiV,0,0,0,0,0,398439,0,0,0,170186,0,0,0,0,0,0,276,0
206,KL Rahul ,DC,1,b17e2f24,KL Rahul,KL Rahul,bhJIOc1UiieXKOJiVLeGJQiCAJi0Iyz,0,0,0,0,0,422108,0,0,0,170187,0,0,0,0,0,0,1125,0
207,Kuldeep Yadav ,DC,2,8d2c70ad,Kuldeep Yadav,Kuldeep Yadav,ziJKJhOi0iiQeJCbycUILJAO1GIVXie,0,0,0,0,0,559235,0,0,0,404424,0,0,0,0,0,0,261,0
208,Madhav Tiwari ,DC,3,fb5f69e4,M Tiwari,M Tiwari,0,0,0,0,0,0,1460385,0,0,0,0,0,0,0,0,0,0,0,0
209,Mitchell Starc ,DC,2,3fb19989,MA Starc,MA Starc,0,0,0,0,0,0,311592,0,0,0,158702,0,0,0,0,0,0,490,0
210,Sameer Rizvi ,DC,1,f89d3b11,Sameer Rizvi,Sameer Rizvi,0,0,0,0,0,0,1175489,0,0,0,0,0,0,0,0,0,0,0,0
211,T Natarajan ,DC,2,ce794613,T Natarajan,T Natarajan,eCUiIGI1ybzeOiJVOAiQLJXJic0hKJi,0,0,0,0,0,802575,0,0,0,1519143,0,0,0,0,0,0,3831,0
212,Tripurana Vijay ,DC,2,51ec3919,T Vijay,T Vijay,0,0,0,0,0,0,1292527,0,0,0,0,0,0,0,0,0,0,0,0
213,Tristan Stubbs ,DC,1,85b3fab2,T Stubbs,T Stubbs,0,0,0,0,0,0,595978,0,0,0,0,0,60288,0,0,0,0,0,0
214,Vipraj Nigam ,DC,2,5ffc0565,V Nigam,V Nigam,0,0,0,0,0,0,1449074,0,0,0,0,0,0,0,0,0,0,0,0
215,David Miller ,DC,1,d67d5f00,DA Miller,DA Miller,0,0,4804,0,0,0,321777,0,0,0,260912,0,0,0,0,0,0,187,0
216,Pathum Nissanka ,DC,1,8ee36b18,P Nissanka,P Nissanka,0,0,0,0,0,0,1028655,0,0,0,1965795,0,0,0,0,0,0,19997,0
217,Lungi Ngidi ,DC,2,f834dcfc,L Ngidi,L Ngidi,0,0,0,0,0,0,542023,0,0,0,1214926,0,0,0,0,0,0,3746,0
218,Prithvi Shaw ,DC,1,8b3e9c7c,PP Shaw,PP Shaw,JOJ0iQOiUJyGiJiAc1IiCLXVehebKzI,0,0,0,0,0,1070168,0,0,0,1136920,0,0,0,0,0,0,3764,0
219,Kyle Jamieson ,DC,2,68c56d09,KA Jamieson,KA Jamieson,0,0,0,0,0,0,625960,0,0,0,1389417,0,0,c6a2001d-7abe-4c66-8867-f6776f59300c,0,0,0,1616,0
220,Mukesh  Kumar ,DC,2,2cffab74,Mukesh Kumar,Mukesh Kumar,AJCi0JJVJeXhyUziiOLIeiIicbGKO1Q,0,0,0,0,0,926851,0,0,0,0,0,0,0,0,0,0,0,0
