S no,Name,team,Type,identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2
32,Naman Dhir ,MI,3,fffa744b,Naman Dhir,Naman Dhir,0,0,0,0,0,0,1287032,0,0,0,0,0,0,0,0,0,0,0,0
33,Jasprit Bumrah ,MI,2,462411b3,JJ Bumrah,JJ Bumrah,bieJAiVQz1iKecLiyXiJhIOJ0OIUCJG,0,0,0,0,0,625383,0,0,0,1196767,0,0,0,0,0,0,1124,0
34,Trent Boult ,MI,2,a818c1be,TA Boult,TA Boult,0,0,0,0,0,0,277912,0,0,0,159058,0,0,c62e0930-e898-4a63-baff-71e4ccde77e4,0,0,0,969,0
35,Allah Ghazanfar ,MI,2,9ca68676,AM Ghazanfar,AM Ghazanfar,0,0,0,0,0,0,1326798,0,0,0,0,0,0,78140984-e5de-457c-975d-a153850a93cd,0,0,0,0,0
36,Ashwani Kumar ,MI,2,d45c29b1,Ashwani Kumar,Ashwani Kumar,0,0,0,0,0,0,1209126,0,0,0,0,0,0,0,0,0,0,0,0
37,Deepak Chahar ,MI,2,23eeb873,DL Chahar,DL Chahar,1bJVJAyiCKUIheLXiJQ0ciOIzGiJOie,0,0,0,0,0,447261,0,0,0,258155,0,0,0,0,0,0,140,0
38,Will Jacks ,MI,3,9caf69a1,WG Jacks,WG Jacks,0,0,10865,0,0,0,897549,0,0,0,1304150,0,0,526350c5-29d7-458d-b2e8-b97628f0d7bd,0,0,0,3786,0
39,Sherfane Rutherford ,MI,1,d014d5ac,SE Rutherford,SE Rutherford,0,0,0,0,0,0,914541,0,0,17377,1499290,0,0,0,0,0,0,5396,0
40,Mayank Markande ,MI,2,a9fd84fb,M Markande,M Markande,Q0GJOJCJLO1UiKiAeJIiyzVbXihcieI,0,0,0,0,0,1081442,0,0,0,0,0,0,0,0,0,0,4951,0
41,Shardul Thakur ,MI,3,1abb78f8,SN Thakur,SN Thakur,GLcJJQIhieyAeKJ1OJ0bOVCiiziXIiU,0,0,0,0,0,475281,0,0,0,257775,0,0,0,0,0,0,1745,0
42,Quinton de Kock,MI,1,372455c4,Q de Kock,Q de Kock,0,0,0,0,0,0,379143,0,0,0,389104,0,0,0,0,0,0,834,0
43,Atharva Ankolekar ,MI,3,d6cd318e,Atharva Ankolekar,Atharva Ankolekar,iIiXceibJAeULzOIK0ihyJVOGJ1CQJi,0,0,0,0,0,1175467,0,0,0,0,0,0,0,0,0,0,0,0
44,Mayank Rawat ,MI,3,2b801189,Mayank Rawat,Mayank Rawat,0,0,0,0,0,0,1079847,0,0,0,0,0,0,0,0,0,0,0,0
45,Ajinkya Rahane ,KKR,1,29e95537,AM Rahane,AM Rahane,AXeJIbJi1OLGK0UQihJzyiJeOcViIiC,0,0,0,0,0,277916,0,0,0,154043,0,0,0,0,0,0,135,0
46,Angkrish Raghuvanshi ,KKR,1,d7017798,A Raghuvanshi,A Raghuvanshi,0,0,0,0,0,0,1292495,0,0,0,0,0,0,0,0,0,0,0,0
47,Anukul Roy ,KKR,3,e4cdf230,AS Roy,AS Roy,izXKeJhJIUbiOVQLeGAy1CicOi0JIiJ,0,0,0,0,0,1079839,0,0,0,0,0,0,0,0,0,0,3774,0
48,Manish Pandey ,KKR,1,93b4fc78,MK Pandey,MK Pandey,JJG1KLA0hQyiXOzIObeciJUiCiJVeiI,0,0,0,0,0,290630,0,0,0,167621,0,0,0,0,0,0,123,0
49,Ramandeep Singh ,KKR,1,be24ead0,Ramandeep Singh,Ramandeep Singh,iXyOJLIQAbKiChG0JiVzIieiUJOceJ1,0,0,0,0,0,1079470,0,0,0,0,0,0,0,0,0,0,0,0
50,Rinku Singh ,KKR,1,0a509d6b,RK Singh,RK Singh,VIcLi1IJUAXzCeiiJQJKJebiyOi0GOh,0,0,0,0,0,723105,0,0,0,1376795,0,0,0,0,0,0,3830,0
51,Rovman Powell ,KKR,1,650d5e49,R Powell,R Powell,0,0,0,0,0,0,820351,0,0,0,1779397,0,0,0,0,0,0,3333,0
52,Sunil Narine ,KKR,3,9d430b40,SP Narine,SP Narine,0,0,0,0,0,0,230558,0,0,0,97646,0,0,0,0,0,0,203,0
53,Umran Malik ,KKR,2,81c08fa3,Umran Malik,Umran Malik,20182464a4dac6d211e8a30e02726df,0,0,0,0,0,1246528,0,0,0,0,0,0,0,0,0,0,0,0
54,Vaibhav Arora ,KKR,2,7c3b3b78,VG Arora,VG Arora,20182b29a0f9ad4f11e89b5f028d29d,0,0,0,0,0,1209292,0,0,0,0,0,0,0,0,0,0,0,0
55,Varun Chakravarthy ,KKR,2,5b7ab5a9,CV Varun,CV Varun,0,0,0,0,0,0,1108375,0,0,0,2236878,0,0,0,0,0,0,5432,0
56,Cameron Green ,KKR,1,eaa76d3c,C Green,C Green,0,0,10749,0,0,0,1076713,0,0,0,1954708,0,0,387bfaf3-148c-44c7-8f04-d54400928c34,0,0,0,4093,0
57,Finn Allen ,KKR,1,bf74b130,FH Allen,FH Allen,0,0,0,0,0,0,959759,0,0,0,1777961,0,0,fd8db27d-876d-47b8-b106-7623da8258e2,0,0,0,3020,0
58,Matheesha Pathirana ,KKR,2,64839cb3,M Pathirana,M Pathirana,0,0,0,0,0,0,1194795,0,0,0,0,0,0,0,0,0,0,0,0
59,Kartik Tyagi ,KKR,2,5d2eea49,Kartik Tyagi,Kartik Tyagi,0,0,0,0,0,0,1122918,0,0,0,1947104,0,0,0,0,0,0,10059,0
60,Prashant Solanki ,KKR,2,c695b423,PH Solanki,PH Solanki,KihOJCQXbiALIiyJceUOi1VJei0GJIz,0,0,0,0,0,1252337,0,0,0,0,0,0,0,0,0,0,0,0
61,Rahul Tripathi ,KKR,1,77255a9e,RA Tripathi,RA Tripathi,iceiVGLOJzeAiU0OJ1XhJiybIIJiQKC,0,0,0,0,0,446763,0,0,0,172359,0,0,0,0,0,0,3838,0
62,Tim Seifert ,KKR,1,4663bd23,TL Seifert,TL Seifert,0,0,0,0,0,0,625964,0,0,0,1210697,0,0,c934ffa6-cc60-46ab-a910-29d52a891741,0,0,0,1619,0
63,Sarthak Ranjan ,KKR,1,d7cdefa9,Sarthak Ranjan,Sarthak Ranjan,cGiJeOViJLIJK0JhAyeCiQi1zbXOIUi,0,0,0,0,0,956405,0,0,0,0,0,0,0,0,0,0,0,0
64,Rachin Ravindra ,KKR,3,ba5e1069,R Ravindra,R Ravindra,0,0,0,0,0,0,959767,0,0,0,1596049,0,0,dabc5cba-4ae5-4987-acf4-1d4a3cceaeb1,0,0,0,3028,0
65,B Muzarabani ,KKR,3,449f4e3c,B Muzarabani,B Muzarabani,0,0,0,0,0,0,827051,0,0,0,2174107,0,0,0,0,0,0,4590,0
67,Rajat Patidar ,RCB,1,c740ea83,RM Patidar,RM Patidar,KhJXQJGIiOi0eUzLIiCVbJJe1ciyiAO,0,0,0,0,0,823703,0,0,0,0,0,0,0,0,0,0,5471,0
